Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,Category,City,State,Postal Code,Region
29,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Office Supplies,Philadelphia,Pennsylvania,19140,East
30,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Furniture,Philadelphia,Pennsylvania,19140,East
31,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Office Supplies,Philadelphia,Pennsylvania,19140,East
32,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Office Supplies,Philadelphia,Pennsylvania,19140,East
33,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Office Supplies,Philadelphia,Pennsylvania,19140,East
34,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Office Supplies,Philadelphia,Pennsylvania,19140,East
35,CA-2018-107727,10/19/2018,10/23/2018,Second Class,MA-17560,Matt Abelman,Home Office,United States,Office Supplies,Houston,Texas,77095,Central
36,CA-2017-117590,12/8/2017,12/10/2017,First Class,GH-14485,Gene Hale,Corporate,United States,Technology,Richardson,Texas,75080,Central
37,CA-2017-117590,12/8/2017,12/10/2017,First Class,GH-14485,Gene Hale,Corporate,United States,Furniture,Richardson,Texas,75080,Central
38,CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Office Supplies,Houston,Texas,77041,Central
39,CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Furniture,Houston,Texas,77041,Central
40,CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Furniture,Houston,Texas,77041,Central
41,CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Technology,Houston,Texas,77041,Central
42,CA-2018-120999,9/10/2018,9/15/2018,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Technology,Naperville,Illinois,60540,Central
43,CA-2017-101343,7/17/2017,7/22/2017,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Office Supplies,Los Angeles,California,90049,West
44,CA-2018-139619,9/19/2018,9/23/2018,Standard Class,ES-14080,Erin Smith,Corporate,United States,Office Supplies,Melbourne,Florida,32935,South
45,CA-2017-118255,3/11/2017,3/13/2017,First Class,ON-18715,Odella Nelson,Corporate,United States,Technology,Eagan,Minnesota,55122,Central
46,CA-2017-118255,3/11/2017,3/13/2017,First Class,ON-18715,Odella Nelson,Corporate,United States,Office Supplies,Eagan,Minnesota,55122,Central
47,CA-2015-146703,10/20/2015,10/25/2015,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Office Supplies,Westland,Michigan,48185,Central
48,CA-2017-169194,6/20/2017,6/25/2017,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Technology,Dover,Delaware,19901,East
49,CA-2017-169194,6/20/2017,6/25/2017,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Technology,Dover,Delaware,19901,East
50,CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,Office Supplies,New Albany,Indiana,47150,Central
51,CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,Office Supplies,New Albany,Indiana,47150,Central
52,CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,Furniture,New Albany,Indiana,47150,Central
53,CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,Furniture,New Albany,Indiana,47150,Central
54,CA-2017-105816,12/11/2017,12/17/2017,Standard Class,JM-15265,Janet Molinari,Corporate,United States,Office Supplies,New York City,New York,10024,East
55,CA-2017-105816,12/11/2017,12/17/2017,Standard Class,JM-15265,Janet Molinari,Corporate,United States,Technology,New York City,New York,10024,East
56,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Office Supplies,Troy,New York,12180,East
57,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Office Supplies,Troy,New York,12180,East
58,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Furniture,Troy,New York,12180,East
59,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Office Supplies,Troy,New York,12180,East
60,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Technology,Troy,New York,12180,East
61,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Office Supplies,Troy,New York,12180,East
62,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Office Supplies,Troy,New York,12180,East
63,CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Technology,Los Angeles,California,90004,West
64,CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Office Supplies,Los Angeles,California,90004,West
65,CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Office Supplies,Los Angeles,California,90004,West
66,CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Furniture,Los Angeles,California,90004,West
67,US-2016-164175,4/30/2016,5/5/2016,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Furniture,Chicago,Illinois,60610,Central
68,CA-2015-106376,12/5/2015,12/10/2015,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Office Supplies,Gilbert,Arizona,85234,West
69,CA-2015-106376,12/5/2015,12/10/2015,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Technology,Gilbert,Arizona,85234,West
70,CA-2017-119823,6/4/2017,6/6/2017,First Class,KD-16270,Karen Daniels,Consumer,United States,Office Supplies,Springfield,Virginia,22153,South
71,CA-2017-106075,9/18/2017,9/23/2017,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,Office Supplies,New York City,New York,10009,East
72,CA-2018-114440,9/14/2018,9/17/2018,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Office Supplies,Jackson,Michigan,49201,Central
73,US-2016-134026,4/26/2016,5/2/2016,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Furniture,Memphis,Tennessee,38109,South
74,US-2016-134026,4/26/2016,5/2/2016,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Furniture,Memphis,Tennessee,38109,South
75,US-2016-134026,4/26/2016,5/2/2016,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Office Supplies,Memphis,Tennessee,38109,South
76,US-2018-118038,12/9/2018,12/11/2018,First Class,KB-16600,Ken Brennan,Corporate,United States,Office Supplies,Houston,Texas,77041,Central
77,US-2018-118038,12/9/2018,12/11/2018,First Class,KB-16600,Ken Brennan,Corporate,United States,Furniture,Houston,Texas,77041,Central
78,US-2018-118038,12/9/2018,12/11/2018,First Class,KB-16600,Ken Brennan,Corporate,United States,Office Supplies,Houston,Texas,77041,Central
79,US-2015-147606,11/26/2015,12/1/2015,Second Class,JE-15745,Joel Eaton,Consumer,United States,Furniture,Houston,Texas,77070,Central
80,CA-2017-127208,6/12/2017,6/15/2017,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Office Supplies,Decatur,Alabama,35601,South
81,CA-2017-127208,6/12/2017,6/15/2017,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Office Supplies,Decatur,Alabama,35601,South
82,CA-2015-139451,10/12/2015,10/16/2015,Standard Class,DN-13690,Duane Noonan,Consumer,United States,Office Supplies,San Francisco,California,94122,West
83,CA-2015-139451,10/12/2015,10/16/2015,Standard Class,DN-13690,Duane Noonan,Consumer,United States,Office Supplies,San Francisco,California,94122,West
84,CA-2016-149734,9/3/2016,9/8/2016,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Office Supplies,Durham,North Carolina,27707,South
85,US-2018-119662,11/13/2018,11/16/2018,First Class,CS-12400,Christopher Schild,Home Office,United States,Office Supplies,Chicago,Illinois,60623,Central
86,CA-2018-140088,5/28/2018,5/30/2018,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Furniture,Columbia,South Carolina,29203,South
87,CA-2018-155558,10/26/2018,11/2/2018,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Technology,Rochester,Minnesota,55901,Central
88,CA-2018-155558,10/26/2018,11/2/2018,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Office Supplies,Rochester,Minnesota,55901,Central
89,CA-2017-159695,4/5/2017,4/10/2017,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Office Supplies,Houston,Texas,77095,Central
90,CA-2017-109806,9/17/2017,9/22/2017,Standard Class,JS-15685,Jim Sink,Corporate,United States,Office Supplies,Los Angeles,California,90036,West
91,CA-2017-109806,9/17/2017,9/22/2017,Standard Class,JS-15685,Jim Sink,Corporate,United States,Technology,Los Angeles,California,90036,West
92,CA-2017-109806,9/17/2017,9/22/2017,Standard Class,JS-15685,Jim Sink,Corporate,United States,Office Supplies,Los Angeles,California,90036,West
93,CA-2016-149587,1/31/2016,2/5/2016,Second Class,KB-16315,Karl Braun,Consumer,United States,Office Supplies,Minneapolis,Minnesota,55407,Central
94,CA-2016-149587,1/31/2016,2/5/2016,Second Class,KB-16315,Karl Braun,Consumer,United States,Furniture,Minneapolis,Minnesota,55407,Central
95,CA-2016-149587,1/31/2016,2/5/2016,Second Class,KB-16315,Karl Braun,Consumer,United States,Office Supplies,Minneapolis,Minnesota,55407,Central
96,US-2018-109484,11/6/2018,11/12/2018,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Office Supplies,Portland,Oregon,97206,West
97,CA-2018-161018,11/9/2018,11/11/2018,Second Class,PN-18775,Parhena Norris,Home Office,United States,Furniture,New York City,New York,10009,East
98,CA-2018-157833,6/17/2018,6/20/2018,First Class,KD-16345,Katherine Ducich,Consumer,United States,Office Supplies,San Francisco,California,94122,West
99,CA-2017-149223,9/6/2017,9/11/2017,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Office Supplies,Saint Paul,Minnesota,55106,Central
100,CA-2017-158568,8/29/2017,9/2/2017,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Office Supplies,Chicago,Illinois,60610,Central
101,CA-2017-158568,8/29/2017,9/2/2017,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Technology,Chicago,Illinois,60610,Central
102,CA-2017-158568,8/29/2017,9/2/2017,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Office Supplies,Chicago,Illinois,60610,Central
103,CA-2017-129903,12/1/2017,12/4/2017,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Office Supplies,Rochester,Minnesota,55901,Central
104,US-2016-156867,11/13/2016,11/17/2016,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Technology,Aurora,Colorado,80013,West
105,US-2016-156867,11/13/2016,11/17/2016,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Furniture,Aurora,Colorado,80013,West
106,US-2016-156867,11/13/2016,11/17/2016,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Office Supplies,Aurora,Colorado,80013,West
107,CA-2018-119004,11/23/2018,11/28/2018,Standard Class,JM-15250,Janet Martin,Consumer,United States,Technology,Charlotte,North Carolina,28205,South
108,CA-2018-119004,11/23/2018,11/28/2018,Standard Class,JM-15250,Janet Martin,Consumer,United States,Technology,Charlotte,North Carolina,28205,South
109,CA-2018-119004,11/23/2018,11/28/2018,Standard Class,JM-15250,Janet Martin,Consumer,United States,Office Supplies,Charlotte,North Carolina,28205,South
110,CA-2016-129476,10/15/2016,10/20/2016,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Technology,Orland Park,Illinois,60462,Central
111,CA-2018-146780,12/25/2018,12/30/2018,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,Furniture,New York City,New York,10035,East
112,CA-2017-128867,11/3/2017,11/10/2017,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Office Supplies,Urbandale,Iowa,50322,Central
113,CA-2017-128867,11/3/2017,11/10/2017,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Office Supplies,Urbandale,Iowa,50322,Central
114,CA-2015-115259,8/25/2015,8/27/2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Office Supplies,Columbus,Ohio,43229,East
115,CA-2015-115259,8/25/2015,8/27/2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Office Supplies,Columbus,Ohio,43229,East
116,CA-2015-115259,8/25/2015,8/27/2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Office Supplies,Columbus,Ohio,43229,East
117,CA-2015-115259,8/25/2015,8/27/2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Office Supplies,Columbus,Ohio,43229,East
118,CA-2016-110457,3/2/2016,3/6/2016,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Furniture,Seattle,Washington,98103,West
119,US-2016-136476,4/5/2016,4/10/2016,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Office Supplies,Bristol,Tennessee,37620,South
120,CA-2017-103730,6/12/2017,6/15/2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Furniture,Wilmington,Delaware,19805,East
121,CA-2017-103730,6/12/2017,6/15/2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Office Supplies,Wilmington,Delaware,19805,East
122,CA-2017-103730,6/12/2017,6/15/2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Office Supplies,Wilmington,Delaware,19805,East
123,CA-2017-103730,6/12/2017,6/15/2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Office Supplies,Wilmington,Delaware,19805,East
124,CA-2017-103730,6/12/2017,6/15/2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Technology,Wilmington,Delaware,19805,East
125,US-2015-152030,12/26/2015,12/28/2015,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Furniture,Houston,Texas,77041,Central
126,US-2015-134614,9/20/2015,9/25/2015,Standard Class,PF-19165,Philip Fox,Consumer,United States,Furniture,Bloomington,Illinois,61701,Central
127,US-2018-107272,11/5/2018,11/12/2018,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Office Supplies,Phoenix,Arizona,85023,West
128,US-2018-107272,11/5/2018,11/12/2018,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Office Supplies,Phoenix,Arizona,85023,West
129,US-2017-125969,11/6/2017,11/10/2017,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Furniture,Los Angeles,California,90004,West
130,US-2017-125969,11/6/2017,11/10/2017,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Furniture,Los Angeles,California,90004,West
131,US-2018-164147,2/2/2018,2/5/2018,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Technology,Columbus,Ohio,43229,East
132,US-2018-164147,2/2/2018,2/5/2018,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Office Supplies,Columbus,Ohio,43229,East
133,US-2018-164147,2/2/2018,2/5/2018,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Office Supplies,Columbus,Ohio,43229,East
134,CA-2017-145583,10/13/2017,10/19/2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Office Supplies,Roseville,California,95661,West
135,CA-2017-145583,10/13/2017,10/19/2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Office Supplies,Roseville,California,95661,West
136,CA-2017-145583,10/13/2017,10/19/2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Office Supplies,Roseville,California,95661,West
137,CA-2017-145583,10/13/2017,10/19/2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Office Supplies,Roseville,California,95661,West
138,CA-2017-145583,10/13/2017,10/19/2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Office Supplies,Roseville,California,95661,West
139,CA-2017-145583,10/13/2017,10/19/2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Office Supplies,Roseville,California,95661,West
140,CA-2017-145583,10/13/2017,10/19/2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Furniture,Roseville,California,95661,West
141,CA-2017-110366,9/5/2017,9/7/2017,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Furniture,Philadelphia,Pennsylvania,19140,East
142,CA-2018-106180,9/18/2018,9/23/2018,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,Office Supplies,San Francisco,California,94122,West
143,CA-2018-106180,9/18/2018,9/23/2018,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,Office Supplies,San Francisco,California,94122,West
144,CA-2018-106180,9/18/2018,9/23/2018,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,Office Supplies,San Francisco,California,94122,West
145,CA-2018-155376,12/22/2018,12/27/2018,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Office Supplies,Independence,Missouri,64055,Central
146,CA-2016-110744,9/7/2016,9/12/2016,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Office Supplies,Pasadena,California,91104,West
147,CA-2015-110072,10/22/2015,10/28/2015,Standard Class,MG-17680,Maureen Gastineau,Home Office,United States,Furniture,Newark,Ohio,43055,East
148,CA-2017-114489,12/5/2017,12/9/2017,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Technology,Franklin,Wisconsin,53132,Central
149,CA-2017-114489,12/5/2017,12/9/2017,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Technology,Franklin,Wisconsin,53132,Central
150,CA-2017-114489,12/5/2017,12/9/2017,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Furniture,Franklin,Wisconsin,53132,Central
151,CA-2017-114489,12/5/2017,12/9/2017,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Office Supplies,Franklin,Wisconsin,53132,Central
152,CA-2017-158834,3/13/2017,3/16/2017,First Class,TW-21025,Tamara Willingham,Home Office,United States,Office Supplies,Scottsdale,Arizona,85254,West
153,CA-2017-158834,3/13/2017,3/16/2017,First Class,TW-21025,Tamara Willingham,Home Office,United States,Technology,Scottsdale,Arizona,85254,West
154,CA-2016-124919,5/31/2016,6/2/2016,First Class,SP-20650,Stephanie Phelps,Corporate,United States,Office Supplies,San Jose,California,95123,West
155,CA-2016-124919,5/31/2016,6/2/2016,First Class,SP-20650,Stephanie Phelps,Corporate,United States,Office Supplies,San Jose,California,95123,West
156,CA-2016-124919,5/31/2016,6/2/2016,First Class,SP-20650,Stephanie Phelps,Corporate,United States,Office Supplies,San Jose,California,95123,West
157,CA-2016-118948,5/28/2016,6/3/2016,Standard Class,NK-18490,Neil Knudson,Home Office,United States,Office Supplies,Seattle,Washington,98105,West
158,CA-2015-104269,3/1/2015,3/6/2015,Second Class,DB-13060,Dave Brooks,Consumer,United States,Furniture,Seattle,Washington,98115,West
159,CA-2017-114104,11/20/2017,11/24/2017,Standard Class,NP-18670,Nora Paige,Consumer,United States,Office Supplies,Edmond,Oklahoma,73034,Central
160,CA-2017-114104,11/20/2017,11/24/2017,Standard Class,NP-18670,Nora Paige,Consumer,United States,Technology,Edmond,Oklahoma,73034,Central
161,CA-2017-162733,5/11/2017,5/12/2017,First Class,TT-21070,Ted Trevino,Consumer,United States,Office Supplies,Los Angeles,California,90045,West
162,CA-2016-119697,12/28/2016,12/31/2016,Second Class,EM-13960,Eric Murdock,Consumer,United States,Technology,Philadelphia,Pennsylvania,19134,East
163,CA-2017-154508,11/16/2017,11/20/2017,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Office Supplies,Carlsbad,New Mexico,88220,West
164,CA-2017-113817,11/7/2017,11/11/2017,Standard Class,MJ-17740,Max Jones,Consumer,United States,Office Supplies,Seattle,Washington,98115,West
165,CA-2015-139892,9/8/2015,9/12/2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,Office Supplies,San Antonio,Texas,78207,Central
166,CA-2015-139892,9/8/2015,9/12/2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,Technology,San Antonio,Texas,78207,Central
167,CA-2015-139892,9/8/2015,9/12/2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,Office Supplies,San Antonio,Texas,78207,Central
168,CA-2015-139892,9/8/2015,9/12/2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,Furniture,San Antonio,Texas,78207,Central
169,CA-2015-139892,9/8/2015,9/12/2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,Office Supplies,San Antonio,Texas,78207,Central
170,CA-2015-139892,9/8/2015,9/12/2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,Office Supplies,San Antonio,Texas,78207,Central
171,CA-2015-139892,9/8/2015,9/12/2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,Technology,San Antonio,Texas,78207,Central
172,CA-2015-118962,8/5/2015,8/9/2015,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Office Supplies,Los Angeles,California,90004,West
173,CA-2015-118962,8/5/2015,8/9/2015,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Office Supplies,Los Angeles,California,90004,West
174,CA-2015-118962,8/5/2015,8/9/2015,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Furniture,Los Angeles,California,90004,West
175,US-2015-100853,9/14/2015,9/19/2015,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Office Supplies,Chicago,Illinois,60623,Central
176,US-2015-100853,9/14/2015,9/19/2015,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Office Supplies,Chicago,Illinois,60623,Central
177,US-2018-152366,4/21/2018,4/25/2018,Second Class,SJ-20500,Shirley Jackson,Consumer,United States,Office Supplies,Houston,Texas,77036,Central
178,US-2016-101511,11/21/2016,11/23/2016,Second Class,JE-15745,Joel Eaton,Consumer,United States,Furniture,Newark,Ohio,43055,East
179,US-2016-101511,11/21/2016,11/23/2016,Second Class,JE-15745,Joel Eaton,Consumer,United States,Office Supplies,Newark,Ohio,43055,East
180,CA-2016-137225,12/15/2016,12/19/2016,Standard Class,JK-15640,Jim Kriz,Home Office,United States,Office Supplies,New York City,New York,10009,East
181,CA-2015-166191,12/5/2015,12/9/2015,Second Class,DK-13150,David Kendrick,Corporate,United States,Office Supplies,Decatur,Illinois,62521,Central
182,CA-2015-166191,12/5/2015,12/9/2015,Second Class,DK-13150,David Kendrick,Corporate,United States,Technology,Decatur,Illinois,62521,Central
183,CA-2015-158274,11/19/2015,11/24/2015,Second Class,RM-19675,Robert Marley,Home Office,United States,Technology,Monroe,Louisiana,71203,South
184,CA-2015-158274,11/19/2015,11/24/2015,Second Class,RM-19675,Robert Marley,Home Office,United States,Technology,Monroe,Louisiana,71203,South
185,CA-2015-158274,11/19/2015,11/24/2015,Second Class,RM-19675,Robert Marley,Home Office,United States,Technology,Monroe,Louisiana,71203,South
186,CA-2017-105018,11/28/2017,12/2/2017,Standard Class,SK-19990,Sally Knutson,Consumer,United States,Office Supplies,Fairfield,Connecticut,6824,East
187,CA-2015-123260,8/26/2015,8/30/2015,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Technology,Los Angeles,California,90032,West
